method,missing_mode,missing_rate,repeat,rmse
16_KNN回归_k3,MCAR,0.1,5,0.5817072525209144
17_KNN回归_k5,MCAR,0.1,5,0.4640000644473736
18_MLP神经网络,MCAR,0.1,5,0.5594194362195721
19_迭代插补_贝叶斯,MCAR,0.1,5,0.5566664095516892
20_迭代插补_随机树,MCAR,0.1,5,0.41595759966583223
01_均值填充,MCAR,0.2,1,0.5279846884185482
02_中位数填充,MCAR,0.2,1,0.5269126040804637
03_KNN填充_k3,MCAR,0.2,1,0.49594150193000436
04_KNN填充_k5,MCAR,0.2,1,0.46463714631365566
05_线性回归,MCAR,0.2,1,0.4746029250083091
06_岭回归,MCAR,0.2,1,0.47532057962339125
07_Lasso,MCAR,0.2,1,0.514904341813316
08_ElasticNet,MCAR,0.2,1,0.4948962989178156
09_贝叶斯岭回归,MCAR,0.2,1,0.49149766811129175
10_决策树,MCAR,0.2,1,0.4525890247031688
11_随机森林,MCAR,0.2,1,0.4777775566263235
12_极端随机树,MCAR,0.2,1,0.5235911074119692
13_GradientBoosting,MCAR,0.2,1,0.48146813450163684
14_AdaBoost,MCAR,0.2,1,0.45990312728609245
15_SVR_rbf,MCAR,0.2,1,0.4779219715836656
16_KNN回归_k3,MCAR,0.2,1,0.518396418860609
17_KNN回归_k5,MCAR,0.2,1,0.44011545928454743
18_MLP神经网络,MCAR,0.2,1,0.49388601173272406
19_迭代插补_贝叶斯,MCAR,0.2,1,0.4852472410700095
20_迭代插补_随机树,MCAR,0.2,1,0.5135637785364436
01_均值填充,MCAR,0.2,2,0.47522087172277505
02_中位数填充,MCAR,0.2,2,0.4746832503530365
03_KNN填充_k3,MCAR,0.2,2,0.5495872645816006
04_KNN填充_k5,MCAR,0.2,2,0.5240837837351475
05_线性回归,MCAR,0.2,2,0.45485236553954067
06_岭回归,MCAR,0.2,2,0.4549268610307587
07_Lasso,MCAR,0.2,2,0.46460116739154134
08_ElasticNet,MCAR,0.2,2,0.4593060146506118
09_贝叶斯岭回归,MCAR,0.2,2,0.45786253450035425
10_决策树,MCAR,0.2,2,0.46412819225798335
11_随机森林,MCAR,0.2,2,0.44904004389093016
12_极端随机树,MCAR,0.2,2,0.48854030242950575
13_GradientBoosting,MCAR,0.2,2,0.5188209665422272
14_AdaBoost,MCAR,0.2,2,0.42704681676248607
15_SVR_rbf,MCAR,0.2,2,0.44400779188511363
16_KNN回归_k3,MCAR,0.2,2,0.6008489602417975
17_KNN回归_k5,MCAR,0.2,2,0.5083635690276728
18_MLP神经网络,MCAR,0.2,2,0.4678304898609307
19_迭代插补_贝叶斯,MCAR,0.2,2,0.45500176713275164
20_迭代插补_随机树,MCAR,0.2,2,0.49429164245921103
01_均值填充,MCAR,0.2,3,0.49336793282626557
02_中位数填充,MCAR,0.2,3,0.48846090135656994
03_KNN填充_k3,MCAR,0.2,3,0.6578374300725879
04_KNN填充_k5,MCAR,0.2,3,0.5737179398439207
05_线性回归,MCAR,0.2,3,0.447185010894987
06_岭回归,MCAR,0.2,3,0.4475746631006756
07_Lasso,MCAR,0.2,3,0.4787104109760594
08_ElasticNet,MCAR,0.2,3,0.46218251529560767
09_贝叶斯岭回归,MCAR,0.2,3,0.4578756384830936
10_决策树,MCAR,0.2,3,0.47479481733821993
11_随机森林,MCAR,0.2,3,0.4590437431145683
12_极端随机树,MCAR,0.2,3,0.48531309884119234
13_GradientBoosting,MCAR,0.2,3,0.5034697076201701
14_AdaBoost,MCAR,0.2,3,0.4654058003777811
15_SVR_rbf,MCAR,0.2,3,0.43490722134508636
16_KNN回归_k3,MCAR,0.2,3,0.5990702003928874
17_KNN回归_k5,MCAR,0.2,3,0.4934725544916454
18_MLP神经网络,MCAR,0.2,3,0.45150388122627033
19_迭代插补_贝叶斯,MCAR,0.2,3,0.45110348528378685
20_迭代插补_随机树,MCAR,0.2,3,0.45915314019952963
01_均值填充,MCAR,0.2,4,0.4102794037981134
02_中位数填充,MCAR,0.2,4,0.40762351490538057
03_KNN填充_k3,MCAR,0.2,4,0.34149205847437564
04_KNN填充_k5,MCAR,0.2,4,0.3239354878498124
05_线性回归,MCAR,0.2,4,0.393878636227579
06_岭回归,MCAR,0.2,4,0.3934009140034787
07_Lasso,MCAR,0.2,4,0.39467135916701324
08_ElasticNet,MCAR,0.2,4,0.3902674593913403
09_贝叶斯岭回归,MCAR,0.2,4,0.39058313565386854
10_决策树,MCAR,0.2,4,0.3762041515700974
11_随机森林,MCAR,0.2,4,0.31891389184643704
12_极端随机树,MCAR,0.2,4,0.32582006409576414
