method,missing_mode,missing_rate,rmse_mean,rmse_std
08_ElasticNet,MAR,0.3,0.41968199526655176,0.03979284127391539
08_ElasticNet,MAR,0.4,0.4681094455664482,0.01860133414719716
08_ElasticNet,MAR,0.5,0.4827549755190167,0.019919660090050605
08_ElasticNet,MCAR,0.1,0.4743332570241863,0.10723604892292221
08_ElasticNet,MCAR,0.2,0.4878758434027864,0.08949148364210524
08_ElasticNet,MCAR,0.3,0.4935148200321531,0.038504098362617506
08_ElasticNet,MCAR,0.4,0.47579318261253556,0.024533503534460866
08_ElasticNet,MCAR,0.5,0.4752235008059822,0.02622227171877664
08_ElasticNet,MNAR,0.1,0.6504412376930119,0.03905107920816666
08_ElasticNet,MNAR,0.2,0.6479272089116875,0.07221793712666681
08_ElasticNet,MNAR,0.3,0.6624561489879752,0.016561135406766524
08_ElasticNet,MNAR,0.4,0.8366840225071754,0.0
08_ElasticNet,MNAR,0.5,0.7745391975724025,0.009897209048071924
09_贝叶斯岭回归,MAR,0.1,0.439582059483405,0.10588794047452457
09_贝叶斯岭回归,MAR,0.2,0.44516102856960604,0.05931334498544119
09_贝叶斯岭回归,MAR,0.3,0.4258821006175024,0.03601194958116588
09_贝叶斯岭回归,MAR,0.4,0.4741849645897869,0.02004083194240115
09_贝叶斯岭回归,MAR,0.5,0.4927046587663123,0.027538628694160776
09_贝叶斯岭回归,MCAR,0.1,0.4717172848003175,0.11175411219412841
09_贝叶斯岭回归,MCAR,0.2,0.4854703349691681,0.08848380039537489
09_贝叶斯岭回归,MCAR,0.3,0.4951640908315536,0.03522539778826782
09_贝叶斯岭回归,MCAR,0.4,0.477997133600479,0.024515648905808027
09_贝叶斯岭回归,MCAR,0.5,0.4808193204258314,0.02588798000027286
09_贝叶斯岭回归,MNAR,0.1,0.6482083256572952,0.03805156310583814
09_贝叶斯岭回归,MNAR,0.2,0.6507794900955,0.07358609629554637
09_贝叶斯岭回归,MNAR,0.3,0.6646408115260645,0.014627515898077422
09_贝叶斯岭回归,MNAR,0.4,0.8955823996235812,0.0
09_贝叶斯岭回归,MNAR,0.5,0.8298811338994728,0.01402091020177975
10_决策树,MAR,0.1,0.44345697354915165,0.05231789783821672
10_决策树,MAR,0.2,0.3879408480842593,0.0391512942385541
10_决策树,MAR,0.3,0.4055045827329282,0.07112636344671681
10_决策树,MAR,0.4,0.44538603711618696,0.029009184202386185
10_决策树,MAR,0.5,0.4560432984624282,0.044527642581411946
10_决策树,MCAR,0.1,0.4155026441242204,0.07706155323945736
10_决策树,MCAR,0.2,0.4559729454569089,0.0498772991715225
10_决策树,MCAR,0.3,0.46874794263606717,0.030269613158496807
10_决策树,MCAR,0.4,0.45604496497845837,0.028910395617772918
10_决策树,MCAR,0.5,0.4296545960887236,0.011321891058231686
10_决策树,MNAR,0.1,0.5325256688455458,0.06093852884793027
10_决策树,MNAR,0.2,0.5370785774063076,0.06674743932329519
10_决策树,MNAR,0.3,0.5677274632984544,0.07971012634248671
10_决策树,MNAR,0.4,0.8711182889238118,0.0
10_决策树,MNAR,0.5,0.8407053380638647,0.06808215570003699
11_随机森林,MAR,0.1,0.42040326839919223,0.05125930283979251
11_随机森林,MAR,0.2,0.3880262833985118,0.023506188814527963
11_随机森林,MAR,0.3,0.39969587105956966,0.04351039773921982
11_随机森林,MAR,0.4,0.431951147747908,0.010592712832074306
11_随机森林,MAR,0.5,0.44661975302693024,0.042159957171003785
11_随机森林,MCAR,0.1,0.42188047502630194,0.10448769865378614
11_随机森林,MCAR,0.2,0.4469838003589034,0.07812715146831177
11_随机森林,MCAR,0.3,0.46242339686052186,0.03421448635453343
11_随机森林,MCAR,0.4,0.432820596793127,0.023658427700994578
11_随机森林,MCAR,0.5,0.4283004904146007,0.015194881449780179
11_随机森林,MNAR,0.1,0.5041803578674666,0.07319743951837003
11_随机森林,MNAR,0.2,0.5001555206471042,0.05938618778370755
11_随机森林,MNAR,0.3,0.5268373808534965,0.047084150416904856
11_随机森林,MNAR,0.4,0.8532610336383651,7.850462293418876e-17
11_随机森林,MNAR,0.5,0.8168957126873515,0.027878677567457006
12_极端随机树,MAR,0.1,0.4524167296785019,0.0563648949565835
12_极端随机树,MAR,0.2,0.4285168704758335,0.05129944211460384
12_极端随机树,MAR,0.3,0.43153970970792166,0.04066567878292805
12_极端随机树,MAR,0.4,0.4560081257669261,0.018119910447877433
